name,gen t,loc_x,loc_y,store,store_x,store_y,p2,cook_time,cook_time_type,cook_time_s,cook_time_e,,
0,0,29,43,18,26,24,19.2354,7.8939,uncertainty,7,1,,0
1,1.1,38,47,1,22,26,26.4008,5.9527,uncertainty,7,1,,0
2,2.2,42,18,1,22,26,21.5407,5.6062,uncertainty,7,1,,0
3,3.3,10,43,3,25,29,20.5183,7.819,uncertainty,7,1,,0
4,4.4,21,30,12,27,24,8.4853,6.2948,uncertainty,7,1,,0
5,5.5,3,40,15,28,20,32.0156,6.7107,uncertainty,7,1,,0
6,6.6,41,25,10,26,27,15.1327,6.2054,uncertainty,7,1,,0
7,7.7,13,7,16,20,21,15.6525,7.0294,uncertainty,7,1,,0
8,8.8,20,48,7,29,27,22.8473,5.5028,uncertainty,7,1,,0
9,9.9,2,18,2,27,26,26.2488,8.4361,uncertainty,7,1,,0
10,11,43,39,16,20,21,29.2062,7.6827,uncertainty,7,1,,0
11,12.1,31,17,8,28,22,5.831,7.7479,uncertainty,7,1,,0
12,13.2,24,18,9,23,21,3.1623,5.4957,uncertainty,7,1,,0
13,14.3,48,33,18,26,24,23.7697,8.1733,uncertainty,7,1,,0
14,15.4,7,18,13,24,23,17.72,5.891,uncertainty,7,1,,0
15,16.5,24,15,12,27,24,9.4868,7.4698,uncertainty,7,1,,0
16,17.6,18,24,16,20,21,3.6056,6.8196,uncertainty,7,1,,0
17,18.7,38,20,7,29,27,11.4018,7.9065,uncertainty,7,1,,0
18,19.8,43,33,15,28,20,19.8494,8.9234,uncertainty,7,1,,0
19,20.9,1,41,2,27,26,30.0167,6.9436,uncertainty,7,1,,0
20,22,36,28,11,21,29,15.0333,5.8186,uncertainty,7,1,,0
21,23.1,5,31,11,21,29,16.1245,8.1593,uncertainty,7,1,,0
22,24.2,3,43,7,29,27,30.5287,6.7657,uncertainty,7,1,,0
23,25.3,31,28,12,27,24,5.6569,6.282,uncertainty,7,1,,0
24,26.4,49,13,9,23,21,27.2029,6.3948,uncertainty,7,1,,0
25,27.5,4,29,13,24,23,20.8806,5.4155,uncertainty,7,1,,0
26,28.6,0,34,17,24,27,25,7.0532,uncertainty,7,1,,0
27,29.7,44,30,5,29,22,17,6.6901,uncertainty,7,1,,0
