name,gen t,loc_x,loc_y,store,store_x,store_y,p2,cook_time,cook_time_type,cook_time_s,cook_time_e
0,0,37,6,9,23,29,26.9258,7.9252,uncertainty,7,1
1,1.1,32,35,3,26,25,11.6619,7.2084,uncertainty,7,1
2,2.2,41,28,12,20,25,21.2132,7.3402,uncertainty,7,1
3,3.3,41,11,18,27,26,20.5183,5.9089,uncertainty,7,1
4,4.4,12,14,5,29,20,18.0278,7.0776,uncertainty,7,1
5,5.5,8,28,4,21,26,13.152900000000002,7.7551,uncertainty,7,1
6,6.6,0,22,10,27,29,27.892699999999998,6.5216,uncertainty,7,1
7,7.7,16,37,9,23,29,10.6301,6.4966,uncertainty,7,1
8,8.8,35,42,10,27,29,15.264299999999999,6.5127,uncertainty,7,1
9,9.9,21,29,11,23,22,7.280099999999999,5.7485,uncertainty,7,1
10,11.0,6,9,7,20,28,23.6008,4.514,uncertainty,7,1
11,12.1,27,22,15,25,21,2.2361,7.0788,uncertainty,7,1
12,13.2,33,24,14,26,24,7.0,7.0332,uncertainty,7,1
13,14.3,17,9,4,21,26,17.4642,7.7811,uncertainty,7,1
14,15.4,16,2,7,20,28,26.3059,7.244,uncertainty,7,1
15,16.5,31,16,3,26,25,10.2956,6.6072,uncertainty,7,1
16,17.6,14,17,15,25,21,11.7047,7.5311,uncertainty,7,1
17,18.7,27,33,16,22,29,6.4031,6.8155,uncertainty,7,1
18,19.8,19,20,16,22,29,9.4868,8.8003,uncertainty,7,1
19,20.9,33,10,19,24,29,21.0238,7.6628,uncertainty,7,1
20,22.0,3,42,1,29,20,34.0588,6.8592,uncertainty,7,1
21,23.1,27,25,1,29,20,5.3852,7.6563,uncertainty,7,1
22,24.2,17,23,8,25,24,8.0623,6.8278,uncertainty,7,1
23,25.3,14,49,11,23,22,28.4605,4.5805,uncertainty,7,1
24,26.4,17,10,1,29,20,15.6205,7.1576,uncertainty,7,1
25,27.5,31,32,6,20,29,11.4018,6.4859,uncertainty,7,1
26,28.6,45,49,11,23,22,34.8281,7.8923,uncertainty,7,1
27,29.7,36,8,16,22,29,25.2389,7.0943,uncertainty,7,1
28,30.8,17,8,0,26,24,18.3576,6.6925,uncertainty,7,1
29,31.9,8,11,13,22,23,18.4391,5.6626,uncertainty,7,1
30,33.0,10,20,19,24,29,16.6433,7.179,uncertainty,7,1
31,34.1,24,41,18,27,26,15.2971,6.6829,uncertainty,7,1
32,35.2,20,22,17,20,26,4.0,6.6202,uncertainty,7,1
33,36.3,42,7,6,20,29,31.112700000000004,7.9612,uncertainty,7,1
34,37.4,21,23,0,26,24,5.099,8.1216,uncertainty,7,1
35,38.5,1,24,4,21,26,20.0998,7.4974,uncertainty,7,1
36,39.6,25,33,17,20,26,8.6023,6.3642,uncertainty,7,1
37,40.7,38,7,19,24,29,26.0768,6.8252,uncertainty,7,1
38,41.8,25,26,0,26,24,2.2361,5.7668,uncertainty,7,1
39,42.9,8,12,0,26,24,21.6333,7.1199,uncertainty,7,1
40,44.0,26,3,16,22,29,26.3059,6.1236,uncertainty,7,1
41,45.1,4,25,4,21,26,17.0294,5.1234,uncertainty,7,1
42,46.2,46,44,2,22,27,29.4109,8.8175,uncertainty,7,1
43,47.3,20,17,14,26,24,9.2195,7.0803,uncertainty,7,1
44,48.4,43,22,11,23,22,20.0,7.0852,uncertainty,7,1
45,49.5,46,49,11,23,22,35.4683,7.59,uncertainty,7,1
46,50.6,6,46,2,22,27,24.8395,7.4714,uncertainty,7,1
47,51.7,10,11,9,23,29,22.2036,6.0381,uncertainty,7,1
48,52.8,15,33,1,29,20,19.105,8.214,uncertainty,7,1
49,53.9,24,13,18,27,26,13.3417,5.9822,uncertainty,7,1
50,55.0,14,11,5,29,20,17.4929,6.5359,uncertainty,7,1
51,56.1,15,36,8,25,24,15.6205,5.754,uncertainty,7,1
52,57.2,19,33,2,22,27,6.7082,5.5361,uncertainty,7,1
53,58.3,14,6,16,22,29,24.3516,7.7076,uncertainty,7,1
54,59.4,44,10,4,21,26,28.017899999999997,7.9764,uncertainty,7,1
55,60.5,47,36,1,29,20,24.0832,8.3443,uncertainty,7,1
56,61.6,19,15,6,20,29,14.0357,6.7211,uncertainty,7,1
57,62.7,4,48,13,22,23,30.805800000000005,7.5097,uncertainty,7,1
58,63.8,35,31,5,29,20,12.530000000000001,7.3098,uncertainty,7,1
59,64.9,25,47,9,23,29,18.1108,6.7916,uncertainty,7,1
60,66.0,17,7,9,23,29,22.8035,6.4668,uncertainty,7,1
61,67.1,27,37,11,23,22,15.5242,6.1678,uncertainty,7,1
62,68.2,37,1,12,20,25,29.4109,7.1779,uncertainty,7,1
63,69.3,7,20,16,22,29,17.4929,7.4695,uncertainty,7,1
64,70.4,38,45,11,23,22,27.4591,6.3708,uncertainty,7,1
65,71.5,49,33,1,29,20,23.8537,7.7961,uncertainty,7,1
66,72.6,22,25,9,23,29,4.1231,5.357,uncertainty,7,1
