name,gen t,loc_x,loc_y,store,store_x,store_y,p2,cook_time,cook_time_type,cook_time_s,cook_time_e,service_time
0,0,30,43,17,27,23,20.2237,6.3406,uncertainty,7,1,4
1,1.1,48,6,17,27,23,27.0185,8.2486,uncertainty,7,1,6
2,2.2,20,30,12,26,29,6.0828,5.1517,uncertainty,7,1,9
3,3.3,14,26,0,26,27,12.0416,8.3483,uncertainty,7,1,2
4,4.4,46,33,6,25,23,23.2594,6.8217,uncertainty,7,1,9
5,5.5,19,4,11,25,28,24.7386,7.5394,uncertainty,7,1,3
6,6.6,42,45,6,25,23,27.8029,8.7336,uncertainty,7,1,10
7,7.7,6,17,6,25,23,19.9249,6.4989,uncertainty,7,1,6
8,8.8,47,36,11,25,28,23.4094,5.9996,uncertainty,7,1,10
9,9.9,26,23,11,25,28,5.099,7.0232,uncertainty,7,1,2
10,11,24,36,7,28,29,8.0623,8.3302,uncertainty,7,1,10
11,12.1,28,49,16,28,29,20,7.1089,uncertainty,7,1,7
12,13.2,12,35,14,29,21,22.0227,8.9021,uncertainty,7,1,3
13,14.3,16,2,5,28,29,29.5466,8.5936,uncertainty,7,1,9
14,15.4,27,44,9,29,23,21.095,7.245,uncertainty,7,1,4
15,16.5,40,33,17,27,23,16.4012,6.2399,uncertainty,7,1,8
16,17.6,14,19,6,25,23,11.7047,9.1268,uncertainty,7,1,8
17,18.7,17,49,13,20,27,22.2036,6.9245,uncertainty,7,1,9
18,19.8,35,18,15,24,27,14.2127,4.3858,uncertainty,7,1,5
19,20.9,28,12,15,24,27,15.5242,7.4994,uncertainty,7,1,10
20,22,42,39,15,24,27,21.6333,6.3767,uncertainty,7,1,9
21,23.1,17,14,16,28,29,18.6011,7.87,uncertainty,7,1,3
22,24.2,23,9,2,20,24,15.2971,7.2034,uncertainty,7,1,4
23,25.3,38,6,19,28,22,18.868,6.9445,uncertainty,7,1,8
24,26.4,3,37,14,29,21,30.5287,7.3177,uncertainty,7,1,3
25,27.5,3,7,14,29,21,29.5296,7.7856,uncertainty,7,1,5
26,28.6,47,39,2,20,24,30.8869,6.9761,uncertainty,7,1,7
27,29.7,5,22,12,26,29,22.1359,8.0984,uncertainty,7,1,7
28,30.8,39,31,5,28,29,11.1803,7.6481,uncertainty,7,1,9
29,31.9,9,34,6,25,23,19.4165,9.8728,uncertainty,7,1,7
30,33,43,33,15,24,27,19.9249,6.9926,uncertainty,7,1,5
31,34.1,33,28,14,29,21,8.0623,6.2772,uncertainty,7,1,7
32,35.2,27,45,19,28,22,23.0217,5.7293,uncertainty,7,1,2
33,36.3,21,0,7,28,29,29.8329,8.0427,uncertainty,7,1,6
34,37.4,39,15,1,28,26,15.5563,7.374,uncertainty,7,1,4
35,38.5,14,27,3,29,27,15,9.1132,uncertainty,7,1,4
36,39.6,39,37,9,29,23,17.2047,6.2692,uncertainty,7,1,7
37,40.7,46,8,0,26,27,27.5862,8.3021,uncertainty,7,1,5
38,41.8,26,47,4,29,21,26.1725,7.0877,uncertainty,7,1,8
39,42.9,18,11,12,26,29,19.6977,8.2458,uncertainty,7,1,2
40,44,29,30,7,28,29,1.4142,6.965,uncertainty,7,1,3
41,45.1,1,11,10,29,22,30.0832,6.0853,uncertainty,7,1,7
42,46.2,36,37,15,24,27,15.6205,5.5903,uncertainty,7,1,6
43,47.3,43,36,5,28,29,16.5529,6.9186,uncertainty,7,1,6
44,48.4,42,22,18,29,23,13.0384,8.1986,uncertainty,7,1,8
45,49.5,10,16,17,27,23,18.3848,7.3177,uncertainty,7,1,5
46,50.6,11,26,4,29,21,18.6815,6.094,uncertainty,7,1,6
47,51.7,8,44,2,20,24,23.3238,7.767,uncertainty,7,1,6
48,52.8,47,43,16,28,29,23.6008,6.2817,uncertainty,7,1,7
49,53.9,19,20,3,29,27,12.2066,7.4672,uncertainty,7,1,4
50,55,41,20,3,29,27,13.8924,6.4631,uncertainty,7,1,4
51,56.1,30,17,6,25,23,7.8102,7.6839,uncertainty,7,1,7
52,57.2,36,6,2,20,24,24.0832,5.6307,uncertainty,7,1,9
53,58.3,24,8,10,29,22,14.8661,7.1859,uncertainty,7,1,7
54,59.4,28,47,17,27,23,24.0208,6.5596,uncertainty,7,1,9
55,60.5,40,49,14,29,21,30.0832,6.0274,uncertainty,7,1,9
56,61.6,46,3,1,28,26,29.2062,7.0552,uncertainty,7,1,6
57,62.7,45,1,13,20,27,36.0694,7.1401,uncertainty,7,1,4
58,63.8,29,8,1,28,26,18.0278,6.2538,uncertainty,7,1,2
59,64.9,20,23,7,28,29,10,7.8587,uncertainty,7,1,4
60,66,2,17,18,29,23,27.6586,7.4633,uncertainty,7,1,10
