name,gen t,loc_x,loc_y,store,store_x,store_y,p2,cook_time,cook_time_type,cook_time_s,cook_time_e,service_time,
0,0,33,6,15,36,34,28.1603,6.9366,uncertainty,7,1,4,0
1,1.1,20,12,15,36,34,27.2029,8.9491,uncertainty,7,1,4,0
2,2.2,21,11,12,32,16,12.083,6.278,uncertainty,7,1,3,0
3,3.3,9,8,12,32,16,24.3516,5.578,uncertainty,7,1,8,0
4,4.4,41,0,6,16,29,38.2884,5.1541,uncertainty,7,1,8,0
5,5.5,49,10,19,34,12,15.1327,6.8313,uncertainty,7,1,6,0
6,6.6,48,36,3,33,31,15.8114,7.8772,uncertainty,7,1,4,0
7,7.7,48,42,15,36,34,14.4222,6.9381,uncertainty,7,1,3,0
8,8.8,19,41,13,33,19,26.0768,6.8607,uncertainty,7,1,9,0
9,9.9,13,28,16,29,10,24.0832,6.258,uncertainty,7,1,7,0
10,11,12,20,1,32,34,24.4131,6.4428,uncertainty,7,1,7,0
11,12.1,36,8,11,33,15,7.6158,6.7822,uncertainty,7,1,5,0
12,13.2,6,3,16,29,10,24.0416,6.4737,uncertainty,7,1,10,0
13,14.3,18,15,17,15,39,24.1868,8.5665,uncertainty,7,1,3,0
14,15.4,20,8,13,33,19,17.0294,7.697,uncertainty,7,1,10,0
15,16.5,49,38,11,33,15,28.0179,6.3411,uncertainty,7,1,8,0
16,17.6,22,5,11,33,15,14.8661,7.7853,uncertainty,7,1,5,0
17,18.7,40,23,7,37,29,6.7082,7.6067,uncertainty,7,1,3,0
18,19.8,28,18,11,33,15,5.831,8.3603,uncertainty,7,1,4,0
19,20.9,49,6,2,20,21,32.6497,6.1847,uncertainty,7,1,8,0
20,22,42,15,13,33,19,9.8489,6.47,uncertainty,7,1,7,0
21,23.1,8,40,11,33,15,35.3553,8.9681,uncertainty,7,1,4,0
22,24.2,42,16,8,34,24,11.3137,6.9428,uncertainty,7,1,2,0
23,25.3,42,41,11,33,15,27.5136,6.932,uncertainty,7,1,7,0
24,26.4,39,48,19,34,12,36.3456,7.6029,uncertainty,7,1,9,0
25,27.5,19,24,4,14,29,7.0711,7.437,uncertainty,7,1,9,0
26,28.6,3,7,0,30,27,33.6006,8.2368,uncertainty,7,1,4,0
27,29.7,2,3,2,20,21,25.4558,7.4425,uncertainty,7,1,2,0
28,30.8,31,3,7,37,29,26.6833,7.126,uncertainty,7,1,4,0
29,31.9,9,13,14,26,24,20.2485,8.7586,uncertainty,7,1,4,0
30,33,33,5,7,37,29,24.3311,7.8058,uncertainty,7,1,5,0
31,34.1,23,29,9,32,10,21.0238,6.1267,uncertainty,7,1,10,0
32,35.2,22,21,2,20,21,2,7.1841,uncertainty,7,1,5,0
33,36.3,25,32,0,30,27,7.0711,7.5361,uncertainty,7,1,10,0
34,37.4,15,25,18,36,11,25.2389,6.4446,uncertainty,7,1,7,0
35,38.5,34,30,13,33,19,11.0454,6.6395,uncertainty,7,1,4,0
36,39.6,43,6,14,26,24,24.7588,5.4302,uncertainty,7,1,9,0
37,40.7,17,29,8,34,24,17.72,6.827,uncertainty,7,1,3,0
38,41.8,44,25,13,33,19,12.53,6.3029,uncertainty,7,1,4,0
39,42.9,21,29,6,16,29,5,6.0994,uncertainty,7,1,3,0
40,44,34,42,6,16,29,22.2036,4.9731,uncertainty,7,1,2,0
41,45.1,17,48,1,32,34,20.5183,6.1043,uncertainty,7,1,2,0
42,46.2,9,34,5,14,25,10.2956,7.8539,uncertainty,7,1,7,0
43,47.3,6,16,0,30,27,26.4008,6.7248,uncertainty,7,1,8,0
44,48.4,42,31,12,32,16,18.0278,7.9152,uncertainty,7,1,10,0
45,49.5,1,40,6,16,29,18.6011,5.7568,uncertainty,7,1,8,0
46,50.6,28,7,17,15,39,34.5398,6.8047,uncertainty,7,1,4,0
47,51.7,18,17,5,14,25,8.9443,5.6704,uncertainty,7,1,3,0
48,52.8,3,22,15,36,34,35.1141,6.7225,uncertainty,7,1,7,0
49,53.9,27,14,2,20,21,9.8995,7.1807,uncertainty,7,1,7,0
50,55,14,30,13,33,19,21.9545,7.2353,uncertainty,7,1,4,0
51,56.1,4,10,4,14,29,21.4709,5.3074,uncertainty,7,1,10,0
52,57.2,17,15,17,15,39,24.0832,6.5799,uncertainty,7,1,8,0
53,58.3,32,12,13,33,19,7.0711,7.3862,uncertainty,7,1,5,0
54,59.4,13,35,9,32,10,31.4006,7.2638,uncertainty,7,1,5,0
55,60.5,16,45,4,14,29,16.1245,5.5994,uncertainty,7,1,8,0
56,61.6,42,35,15,36,34,6.0828,6.556,uncertainty,7,1,4,0
57,62.7,34,39,12,32,16,23.0868,6.9009,uncertainty,7,1,6,0
58,63.8,8,14,10,16,38,25.2982,6.8752,uncertainty,7,1,4,0
59,64.9,29,33,7,37,29,8.9443,7.0603,uncertainty,7,1,3,0
60,66,21,29,18,36,11,23.4307,7.3315,uncertainty,7,1,2,0
61,67.1,37,42,2,20,21,27.0185,4.7304,uncertainty,7,1,2,0
62,68.2,2,34,14,26,24,26,7.8302,uncertainty,7,1,10,0
63,69.3,25,38,7,37,29,15,8.1503,uncertainty,7,1,4,0
64,70.4,45,24,6,16,29,29.4279,8.7506,uncertainty,7,1,6,0
65,71.5,28,44,1,32,34,10.7703,6.928,uncertainty,7,1,4,0
66,72.6,0,26,19,34,12,36.7696,8.1966,uncertainty,7,1,5,0
67,73.7,39,19,1,32,34,16.5529,6.8157,uncertainty,7,1,7,0
68,74.8,24,29,17,15,39,13.4536,7.8158,uncertainty,7,1,5,0
69,75.9,11,20,5,14,25,5.831,7.588,uncertainty,7,1,8,0
70,77,48,9,3,33,31,26.6271,7.1929,uncertainty,7,1,2,0
71,78.1,12,8,11,33,15,22.1359,6.3489,uncertainty,7,1,4,0
72,79.2,45,24,11,33,15,15,7.2975,uncertainty,7,1,7,0
73,80.3,16,24,18,36,11,23.8537,5.014,uncertainty,7,1,10,0
74,81.4,39,30,14,26,24,14.3178,6.6204,uncertainty,7,1,10,0
75,82.5,16,7,19,34,12,18.6815,5.8107,uncertainty,7,1,6,0
76,83.6,44,45,17,15,39,29.6142,6.7251,uncertainty,7,1,4,0
