name,gen t,loc_x,loc_y,store,store_x,store_y,p2,cook_time,cook_time_type,cook_time_s,cook_time_e,service_time
0,0,38,1,8,27,25,26.4008,8.7802,uncertainty,7,1,8
1,1.1,41,44,4,20,37,22.1359,5.7024,uncertainty,7,1,2
2,2.2,44,0,8,27,25,30.2324,7.5656,uncertainty,7,1,8
3,3.3,47,32,14,19,17,31.7648,7.0923,uncertainty,7,1,8
4,4.4,22,25,17,31,27,9.2195,6.0448,uncertainty,7,1,3
5,5.5,40,0,12,11,29,41.0122,4.8791,uncertainty,7,1,4
6,6.6,42,31,12,11,29,31.0644,7.7342,uncertainty,7,1,4
7,7.7,1,12,16,27,29,31.0644,7.174,uncertainty,7,1,5
8,8.8,3,43,13,35,23,37.7359,9.6874,uncertainty,7,1,3
9,9.9,39,49,5,36,18,31.1448,6.2705,uncertainty,7,1,5
10,11,49,47,12,11,29,42.0476,8.1225,uncertainty,7,1,4
11,12.1,36,2,2,20,12,18.868,7.7172,uncertainty,7,1,10
12,13.2,48,8,8,27,25,27.0185,7.5433,uncertainty,7,1,4
13,14.3,23,7,6,35,33,28.6356,4.9687,uncertainty,7,1,5
14,15.4,43,37,6,35,33,8.9443,6.3508,uncertainty,7,1,8
15,16.5,32,18,13,35,23,5.831,5.067,uncertainty,7,1,2
16,17.6,23,0,13,35,23,25.9422,7.395,uncertainty,7,1,2
17,18.7,30,29,5,36,18,12.53,5.9131,uncertainty,7,1,7
18,19.8,12,36,14,19,17,20.2485,7.9148,uncertainty,7,1,5
19,20.9,17,26,2,20,12,14.3178,7.471,uncertainty,7,1,9
20,22,8,12,13,35,23,29.1548,7.6453,uncertainty,7,1,10
21,23.1,29,31,4,20,37,10.8167,8.0047,uncertainty,7,1,3
22,24.2,4,48,3,29,32,29.6816,6.0309,uncertainty,7,1,4
23,25.3,26,42,5,36,18,26,7.8936,uncertainty,7,1,6
24,26.4,15,47,16,27,29,21.6333,6.7625,uncertainty,7,1,9
25,27.5,7,35,19,37,28,30.8058,3.6307,uncertainty,7,1,2
26,28.6,15,23,14,19,17,7.2111,7.6064,uncertainty,7,1,7
27,29.7,47,34,2,20,12,34.8281,7.081,uncertainty,7,1,7
28,30.8,29,12,19,37,28,17.8885,7.0191,uncertainty,7,1,6
29,31.9,40,49,4,20,37,23.3238,7.5983,uncertainty,7,1,9
30,33,29,49,14,19,17,33.5261,6.8562,uncertainty,7,1,5
31,34.1,3,34,15,10,11,24.0416,8.1964,uncertainty,7,1,7
32,35.2,45,13,5,36,18,10.2956,6.2811,uncertainty,7,1,10
33,36.3,18,33,10,31,11,25.5539,8.5065,uncertainty,7,1,7
34,37.4,24,45,10,31,11,34.7131,4.4154,uncertainty,7,1,3
35,38.5,47,3,16,27,29,32.8024,7.2921,uncertainty,7,1,8
36,39.6,29,24,12,11,29,18.6815,7.2872,uncertainty,7,1,8
37,40.7,41,9,15,10,11,31.0644,6.8298,uncertainty,7,1,10
38,41.8,36,48,1,23,11,39.2173,7.7827,uncertainty,7,1,8
39,42.9,38,0,16,27,29,31.0161,5.4592,uncertainty,7,1,6
40,44,19,46,0,18,17,29.0172,6.7214,uncertainty,7,1,4
41,45.1,28,26,0,18,17,13.4536,7.0278,uncertainty,7,1,2
42,46.2,18,14,4,20,37,23.0868,6.8847,uncertainty,7,1,7
43,47.3,39,28,0,18,17,23.7065,6.6295,uncertainty,7,1,4
44,48.4,29,40,2,20,12,29.4109,5.9652,uncertainty,7,1,4
45,49.5,13,48,8,27,25,26.9258,4.3662,uncertainty,7,1,10
