name,gen t,loc_x,loc_y,store,store_x,store_y,p2,cook_time,cook_time_type,cook_time_s,cook_time_e
0,0,3,30,12,28,30,25.0,7.0101,uncertainty,7,1
1,1.1,12,31,7,24,26,13.0,8.4933,uncertainty,7,1
2,2.2,29,10,17,15,30,24.4131,7.6842,uncertainty,7,1
3,3.3,36,28,12,28,30,8.2462,3.094,uncertainty,7,1
4,4.4,20,4,7,24,26,22.3607,8.6189,uncertainty,7,1
5,5.5,7,36,7,24,26,19.7231,8.6428,uncertainty,7,1
6,6.6,40,23,9,30,15,12.8062,6.8839,uncertainty,7,1
7,7.7,18,8,10,38,10,20.0998,8.8722,uncertainty,7,1
8,8.8,36,32,15,35,34,2.2361,6.2616,uncertainty,7,1
9,9.9,33,23,14,15,38,23.4307,7.1973,uncertainty,7,1
10,11.0,36,2,7,24,26,26.8328,7.3709,uncertainty,7,1
11,12.1,44,40,15,35,34,10.8167,8.9837,uncertainty,7,1
12,13.2,17,49,19,38,17,38.2753,7.5521,uncertainty,7,1
13,14.3,11,9,11,10,12,3.1623,7.3316,uncertainty,7,1
14,15.4,31,6,19,38,17,13.0384,8.0596,uncertainty,7,1
15,16.5,15,8,3,14,13,5.099,8.2938,uncertainty,7,1
16,17.6,37,29,3,14,13,28.017899999999997,7.7325,uncertainty,7,1
17,18.7,46,25,7,24,26,22.0227,6.4042,uncertainty,7,1
18,19.8,15,33,17,15,30,3.0,5.9406,uncertainty,7,1
19,20.9,31,40,16,11,23,26.248799999999996,7.661,uncertainty,7,1
20,22.0,18,25,14,15,38,13.3417,7.1957,uncertainty,7,1
21,23.1,37,10,0,20,18,18.7883,6.6952,uncertainty,7,1
22,24.2,18,0,1,20,18,18.1108,7.5096,uncertainty,7,1
23,25.3,14,12,4,19,33,21.587,7.2518,uncertainty,7,1
24,26.4,23,28,8,36,19,15.811399999999999,7.8008,uncertainty,7,1
25,27.5,1,44,2,17,30,21.2603,7.8315,uncertainty,7,1
26,28.6,4,15,8,36,19,32.249,8.5138,uncertainty,7,1
27,29.7,18,4,19,38,17,23.8537,6.2093,uncertainty,7,1
28,30.8,40,22,9,30,15,12.2066,7.8179,uncertainty,7,1
29,31.9,45,40,12,28,30,19.7231,7.7288,uncertainty,7,1
30,33.0,7,27,9,30,15,25.9422,6.3223,uncertainty,7,1
31,34.1,7,5,11,10,12,7.6158,6.9632,uncertainty,7,1
32,35.2,0,34,4,19,33,19.0263,7.5418,uncertainty,7,1
33,36.3,43,13,10,38,10,5.831,5.3762,uncertainty,7,1
34,37.4,26,21,9,30,15,7.2111,5.5578,uncertainty,7,1
35,38.5,11,12,0,20,18,10.8167,6.7218,uncertainty,7,1
36,39.6,31,0,14,15,38,41.2311,6.6923,uncertainty,7,1
37,40.7,41,14,13,15,31,31.0644,7.886,uncertainty,7,1
38,41.8,5,25,9,30,15,26.9258,9.294,uncertainty,7,1
39,42.9,22,47,6,33,30,20.2485,8.8544,uncertainty,7,1
40,44.0,25,44,19,38,17,29.9666,7.5448,uncertainty,7,1
41,45.1,37,1,18,12,36,43.0116,8.2847,uncertainty,7,1
42,46.2,44,15,7,24,26,22.8254,8.6027,uncertainty,7,1
43,47.3,30,37,8,36,19,18.9737,6.3839,uncertainty,7,1
44,48.4,41,40,1,20,18,30.4138,8.0524,uncertainty,7,1
45,49.5,45,40,10,38,10,30.805800000000005,6.0041,uncertainty,7,1
46,50.6,7,6,14,15,38,32.9848,6.0223,uncertainty,7,1
47,51.7,32,27,12,28,30,5.0,5.9014,uncertainty,7,1
48,52.8,20,31,4,19,33,2.2361,5.5461,uncertainty,7,1
49,53.9,2,12,11,10,12,8.0,7.0859,uncertainty,7,1
50,55.0,48,9,14,15,38,43.9318,6.021,uncertainty,7,1
51,56.1,10,13,10,38,10,28.1603,6.7958,uncertainty,7,1
52,57.2,22,45,18,12,36,13.4536,8.7913,uncertainty,7,1
53,58.3,16,26,5,28,16,15.6205,6.0363,uncertainty,7,1
54,59.4,43,3,7,24,26,29.832900000000002,6.4713,uncertainty,7,1
55,60.5,0,27,15,35,34,35.6931,7.3144,uncertainty,7,1
56,61.6,42,21,17,15,30,28.4605,7.7304,uncertainty,7,1
57,62.7,12,11,17,15,30,19.2354,7.8294,uncertainty,7,1
58,63.8,35,24,6,33,30,6.3246,5.12,uncertainty,7,1
59,64.9,48,25,12,28,30,20.6155,5.8493,uncertainty,7,1
60,66.0,29,19,7,24,26,8.6023,7.7005,uncertainty,7,1
61,67.1,2,44,7,24,26,28.4253,7.1936,uncertainty,7,1
62,68.2,8,6,0,20,18,16.9706,5.3269,uncertainty,7,1
63,69.3,23,16,3,14,13,9.4868,5.5882,uncertainty,7,1
64,70.4,19,9,18,12,36,27.892699999999998,6.7369,uncertainty,7,1
65,71.5,2,10,18,12,36,27.8568,6.8243,uncertainty,7,1
66,72.6,38,35,9,30,15,21.5407,6.9651,uncertainty,7,1
67,73.7,33,40,1,20,18,25.5539,6.9033,uncertainty,7,1
68,74.8,29,18,6,33,30,12.6491,5.834,uncertainty,7,1
69,75.9,32,45,19,38,17,28.635599999999997,6.6317,uncertainty,7,1
70,77.0,42,4,14,15,38,43.4166,6.7072,uncertainty,7,1
71,78.1,12,9,13,15,31,22.2036,5.6064,uncertainty,7,1
72,79.2,46,15,15,35,34,21.9545,6.9477,uncertainty,7,1
73,80.3,13,21,7,24,26,12.083,7.97,uncertainty,7,1
74,81.4,1,31,11,10,12,21.0238,5.4669,uncertainty,7,1
75,82.5,31,15,3,14,13,17.1172,5.4442,uncertainty,7,1
76,83.6,24,34,16,11,23,17.0294,7.1855,uncertainty,7,1
77,84.7,36,34,12,28,30,8.9443,5.7323,uncertainty,7,1
78,85.8,3,1,5,28,16,29.1548,7.7969,uncertainty,7,1
79,86.9,7,47,11,10,12,35.1283,7.012,uncertainty,7,1
80,88.0,41,5,7,24,26,27.018500000000003,6.5489,uncertainty,7,1
81,89.1,6,13,13,15,31,20.1246,8.553,uncertainty,7,1
82,90.2,17,2,17,15,30,28.0713,5.9904,uncertainty,7,1
83,91.3,26,24,14,15,38,17.8045,6.7669,uncertainty,7,1
84,92.4,27,40,4,19,33,10.6301,7.3817,uncertainty,7,1
85,93.5,14,24,13,15,31,7.0710999999999995,5.7817,uncertainty,7,1
86,94.6,30,7,2,17,30,26.4197,8.471,uncertainty,7,1
87,95.7,45,29,13,15,31,30.0666,7.592,uncertainty,7,1
88,96.8,31,19,12,28,30,11.4018,7.0322,uncertainty,7,1
89,97.9,20,5,19,38,17,21.6333,8.3665,uncertainty,7,1
90,99.0,23,7,16,11,23,20.0,8.1416,uncertainty,7,1
91,100.1,8,28,5,28,16,23.3238,8.4562,uncertainty,7,1
92,101.2,25,48,17,15,30,20.5913,5.848,uncertainty,7,1
93,102.3,29,47,15,35,34,14.317799999999998,5.7399,uncertainty,7,1
94,103.4,10,2,16,11,23,21.0238,8.1337,uncertainty,7,1
95,104.5,9,41,12,28,30,21.9545,7.672,uncertainty,7,1
96,105.6,37,13,4,19,33,26.9072,7.8715,uncertainty,7,1
97,106.7,2,44,3,14,13,33.2415,8.9931,uncertainty,7,1
98,107.8,0,34,9,30,15,35.5106,7.6884,uncertainty,7,1
99,108.9,7,6,16,11,23,17.4642,6.603,uncertainty,7,1
100,110.0,46,9,5,28,16,19.3132,8.4314,uncertainty,7,1
101,111.1,5,38,12,28,30,24.3516,7.2418,uncertainty,7,1
102,112.2,31,7,11,10,12,21.587,7.7375,uncertainty,7,1
103,113.3,41,35,18,12,36,29.0172,6.9181,uncertainty,7,1
104,114.4,21,47,11,10,12,36.6879,7.8643,uncertainty,7,1
105,115.5,39,37,17,15,30,25.0,6.3699,uncertainty,7,1
106,116.6,40,24,8,36,19,6.4031,7.1878,uncertainty,7,1
107,117.7,5,12,8,36,19,31.780500000000004,5.9763,uncertainty,7,1
108,118.8,21,12,15,35,34,26.0768,7.0156,uncertainty,7,1
109,119.9,27,11,6,33,30,19.9249,7.5764,uncertainty,7,1
